"sid" "first.saccade.latency" "type" "N"
"1f330" 0.299532141883546 "model-lat" 181
"1f330" 0.273580144241707 "model-lat" 181
"1f330" 0.306513562965905 "model-lat" 181
"1f330" 0.384989806061392 "model-lat" 181
"1f330" 0.386700682734188 "model-lat" 181
"1f330" 0.325295529906202 "model-lat" 181
"1f330" 0.490705977582935 "model-lat" 181
"1f330" 0.326260644047616 "model-lat" 181
"1f330" 0.290352769834645 "model-lat" 181
"1f330" 0.404646154521621 "model-lat" 181
"1f330" 0.275794658749579 "model-lat" 181
"1f330" 0.285355008526613 "model-lat" 181
"1f330" 0.283779260869374 "model-lat" 181
"1f330" 0.288244562640272 "model-lat" 181
"1f330" 0.314733278599947 "model-lat" 181
"1f330" 0.287862684143264 "model-lat" 181
"1f330" 0.273253163183477 "model-lat" 181
"1f330" 0.378083548117579 "model-lat" 181
"1f330" 0.290663998065992 "model-lat" 181
"1f330" 0.359471841435279 "model-lat" 181
"1f330" 0.299753131021574 "model-lat" 181
"1f330" 0.337576385841748 "model-lat" 181
"1f330" 0.372486926721484 "model-lat" 181
"1f330" 0.291373119716026 "model-lat" 181
"1f330" 0.320690014355345 "model-lat" 181
"1f330" 0.279712065564549 "model-lat" 181
"1f330" 0.415481981743363 "model-lat" 181
"1f330" 0.293462407849031 "model-lat" 181
"1f330" 0.290417875307036 "model-lat" 181
"1f330" 0.406732664759604 "model-lat" 181
"1f330" 0.357711887716329 "model-lat" 181
"1f330" 0.312964150198228 "model-lat" 181
"1f330" 0.264305431901909 "model-lat" 181
"1f330" 0.414180724176428 "model-lat" 181
"1f330" 0.307876508936381 "model-lat" 181
"1f330" 0.292931197766655 "model-lat" 181
"1f330" 0.287739414751916 "model-lat" 181
